,result.end_device_ids.device_id,result.received_at,result.uplink_message.decoded_payload.conduct_SOIL,result.uplink_message.decoded_payload.temp_SOIL,result.uplink_message.decoded_payload.water_SOIL,result.uplink_message.locations.user.latitude,result.uplink_message.locations.user.longitude
74,uni-gent-23,2023-01-29T04:50:00.000817221Z,194,19.62,18.83,50.69193131140707,4.218750000000001
75,uni-gent-23,2023-01-29T04:30:08.017480090Z,195,19.63,18.85,50.69193131140707,4.218750000000001
76,uni-gent-23,2023-01-29T03:50:08.035575131Z,195,19.66,18.87,50.69193131140707,4.218750000000001
77,uni-gent-24,2023-01-29T03:20:09.114884253Z,655,19.63,23.94,50.9390460271824,4.4384765625
78,uni-gent-23,2023-01-29T02:50:00.267546064Z,196,19.71,18.87,50.69193131140707,4.218750000000001
79,uni-gent-23,2023-01-29T01:50:16.099689757Z,198,19.76,18.93,50.69193131140707,4.218750000000001
80,uni-gent-23,2023-01-29T01:10:00.116786291Z,199,19.81,18.97,50.69193131140707,4.218750000000001
81,uni-gent-23,2023-01-28T23:50:08.157147644Z,200,19.92,19.00,50.69193131140707,4.218750000000001
82,uni-gent-24,2023-01-28T23:40:09.547332460Z,663,19.85,24.05,50.9390460271824,4.4384765625
83,uni-gent-24,2023-01-28T23:20:09.579732602Z,664,19.88,24.07,50.9390460271824,4.4384765625
84,uni-gent-23,2023-01-28T23:10:08.187858229Z,201,19.95,19.03,50.69193131140707,4.218750000000001
85,uni-gent-23,2023-01-28T22:30:00.197314414Z,202,20.01,19.07,50.69193131140707,4.218750000000001
86,uni-gent-23,2023-01-28T22:10:16.207011897Z,202,20.02,19.09,50.69193131140707,4.218750000000001
87,uni-gent-24,2023-01-28T22:00:09.738685466Z,666,19.96,24.13,50.9390460271824,4.4384765625
88,uni-gent-23,2023-01-28T21:50:16.230580218Z,203,20.02,19.10,50.69193131140707,4.218750000000001
89,uni-gent-23,2023-01-28T21:10:00.238436088Z,204,20.07,19.11,50.69193131140707,4.218750000000001
90,uni-gent-24,2023-01-28T21:00:09.881072023Z,668,20.02,24.15,50.9390460271824,4.4384765625
91,uni-gent-23,2023-01-28T19:50:00.280069697Z,205,20.14,19.16,50.69193131140707,4.218750000000001
92,uni-gent-23,2023-01-28T19:30:00.290263642Z,206,20.16,19.19,50.69193131140707,4.218750000000001
93,uni-gent-23,2023-01-28T18:50:16.316623303Z,207,20.22,19.22,50.69193131140707,4.218750000000001
94,uni-gent-24,2023-01-28T18:20:10.170492924Z,672,20.15,24.22,50.9390460271824,4.4384765625
95,uni-gent-24,2023-01-28T18:00:10.210264399Z,673,20.18,24.23,50.9390460271824,4.4384765625
96,uni-gent-23,2023-01-28T17:50:08.343652501Z,208,20.25,19.25,50.69193131140707,4.218750000000001
97,uni-gent-23,2023-01-28T17:30:16.353910724Z,209,20.28,19.27,50.69193131140707,4.218750000000001
98,uni-gent-23,2023-01-28T17:10:00.356716690Z,209,20.31,19.29,50.69193131140707,4.218750000000001
99,uni-gent-23,2023-01-28T16:50:16.371246753Z,210,20.32,19.32,50.69193131140707,4.218750000000001
